prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
doc-styles:deck-bold-minimal:1,doc-styles,deck-bold-minimal,convention,,,,,2026-09-23,
doc-styles:one-pager-tight:1,doc-styles,one-pager-tight,convention,,,,,2026-09-23,
doc-styles:cv-harvard:1,doc-styles,cv-harvard,authority,Butterick Practical Typography - Resumes,https://practicaltypography.com/resumes.html,,,2026-09-23,fetched
doc-styles:cv-dach-tabular:1,doc-styles,cv-dach-tabular,authority,Europass official CV page,https://europass.europa.eu/en/create-europass-cv,,,2026-09-23,fetched
doc-styles:cv-europass:1,doc-styles,cv-europass,authority,Europass official CV page,https://europass.europa.eu/en/create-europass-cv,,,2026-09-23,fetched
doc-styles:cv-editorial:1,doc-styles,cv-editorial,convention,,,,,2026-09-23,
doc-reasoning:cv-ats-strict:1,doc-reasoning,cv-ats-strict,convention,,,,,2026-09-23,
doc-reasoning:cv-academic:1,doc-reasoning,cv-academic,convention,,,,,2026-09-23,
doc-reasoning:cover-letter-professional:1,doc-reasoning,cover-letter-professional,convention,,,,,2026-09-23,
doc-reasoning:letter-formal:1,doc-reasoning,letter-formal,convention,,,,,2026-09-23,
doc-reasoning:memo-internal:1,doc-reasoning,memo-internal,convention,,,,,2026-09-23,
doc-reasoning:form-handfilled:1,doc-reasoning,form-handfilled,convention,,,,,2026-09-23,
doc-reasoning:print-marketing:1,doc-reasoning,print-marketing,convention,,,,,2026-09-23,
doc-reasoning:report-classic:1,doc-reasoning,report-classic,convention,,,,,2026-09-23,
doc-reasoning:whitepaper-formal:1,doc-reasoning,whitepaper-formal,convention,,,,,2026-09-23,
doc-reasoning:proposal-narrative:1,doc-reasoning,proposal-narrative,convention,,,,,2026-09-23,
doc-reasoning:quote-devis:1,doc-reasoning,quote-devis,convention,,,,,2026-09-23,
doc-reasoning:deck-generic:1,doc-reasoning,deck-generic,convention,,,,,2026-09-23,
doc-reasoning:one-pager-restrained:1,doc-reasoning,one-pager-restrained,convention,,,,,2026-09-23,
doc-reasoning:infographic-scaffold:1,doc-reasoning,infographic-scaffold,convention,,,,,2026-09-23,
doc-reasoning:invoice-tabular:1,doc-reasoning,invoice-tabular,convention,,,,,2026-09-23,
doc-reasoning:cv-us-uk-designed:1,doc-reasoning,cv-us-uk-designed,authority,Butterick Practical Typography - Resumes,https://practicaltypography.com/resumes.html,,,2026-09-23,fetched
doc-reasoning:cv-us-uk-designed:2,doc-reasoning,cv-us-uk-designed,authority,HR Dive - TheLadders 2018 eye-tracking study,https://www.hrdive.com/news/eye-tracking-study-shows-recruiters-look-at-resumes-for-7-seconds/541582/,,,2026-09-23,fetched
doc-reasoning:cv-us-uk-designed:3,doc-reasoning,cv-us-uk-designed,authority,Jobscan - 5 Critical ATS Formatting Mistakes,https://www.jobscan.co/blog/ats-formatting-mistakes/,,,2026-09-23,fetched
doc-reasoning:cv-us-uk-designed:4,doc-reasoning,cv-us-uk-designed,authority,adobe-fonts/source-serif README,https://github.com/adobe-fonts/source-serif,,,2026-09-23,fetched
doc-reasoning:cv-us-uk-designed:5,doc-reasoning,cv-us-uk-designed,authority,USWDS system colour tokens,https://designsystem.digital.gov/design-tokens/color/system-tokens/,,,2026-09-23,search-corroborated
doc-reasoning:cv-dach-tabular:1,doc-reasoning,cv-dach-tabular,authority,Europass official CV page,https://europass.europa.eu/en/create-europass-cv,,,2026-09-23,fetched
doc-reasoning:cv-dach-tabular:2,doc-reasoning,cv-dach-tabular,authority,Typewolf - PT Serif (suggested pairing PT Serif + PT Sans),https://www.typewolf.com/pt-serif,,,2026-09-23,fetched
doc-reasoning:cv-dach-tabular:3,doc-reasoning,cv-dach-tabular,authority,GOV.UK Design System colour,https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,search-corroborated
doc-reasoning:cv-eu-europass:1,doc-reasoning,cv-eu-europass,authority,Europass official CV page,https://europass.europa.eu/en/create-europass-cv,,,2026-09-23,fetched
doc-reasoning:cv-eu-europass:2,doc-reasoning,cv-eu-europass,authority,Jobscan - 5 Critical ATS Formatting Mistakes,https://www.jobscan.co/blog/ats-formatting-mistakes/,,,2026-09-23,fetched
doc-reasoning:cv-eu-europass:3,doc-reasoning,cv-eu-europass,authority,GOV.UK Design System colour,https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,search-corroborated
doc-reasoning:cv-editorial:1,doc-reasoning,cv-editorial,authority,Typewolf - IBM Plex Sans page (illustrative creative-portfolio pairings),https://www.typewolf.com/ibm-plex-sans,,,2026-09-23,fetched
doc-reasoning:cv-editorial:2,doc-reasoning,cv-editorial,authority,Typewolf - Fraunces page (illustrative pairings),https://www.typewolf.com/fraunces,,,2026-09-23,fetched
doc-reasoning:cv-editorial:3,doc-reasoning,cv-editorial,authority,IBM Carbon colour overview,https://carbondesignsystem.com/elements/color/overview/,,,2026-09-23,search-corroborated
