prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
designs:cv-sans-accent-plain-centered:1,designs,cv-sans-accent-plain-centered,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.050 (2/40),2026-09-23,fetched
designs:cv-serif-mono-split:1,designs,cv-serif-mono-split,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.050 (2/40),2026-09-23,fetched
designs:cv-sans-accent-split:1,designs,cv-sans-accent-split,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.050 (2/40),2026-09-23,fetched
designs:cv-us-uk-designed:1,designs,cv-us-uk-designed,authority,Butterick's Practical Typography -- Résumés,https://practicaltypography.com/resumes.html,authority:doc,,2026-09-23,fetched
designs:cv-us-uk-designed:2,designs,cv-us-uk-designed,ranked,NPM(jsonresume-theme) downloads.monthly search,https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,share:NPM:k/40 by downloads.monthly,0.050 (2/40),2026-09-23,fetched
designs:cv-academic:1,designs,cv-academic,convention,,,,,2026-09-23,
designs:cv-dach-tabular:1,designs,cv-dach-tabular,convention,,,,,2026-09-23,
doc-styles:cv-serif-plain-centered:1,doc-styles,cv-serif-plain-centered,ranked,"GH+NPM cv corpora, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-styles:cv-sans-mono-split:1,doc-styles,cv-sans-mono-split,ranked,"GH cv corpus, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-styles:cv-sans-accent-plain-centered:1,doc-styles,cv-sans-accent-plain-centered,ranked,"GH cv corpus, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-serif-plain-centered:1,doc-reasoning,cv-serif-plain-centered,ranked,"cv corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-sans-accent-ruled:1,doc-reasoning,cv-sans-accent-ruled,ranked,"cv corpus archetype, fill applied per rule",https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-sans-mono-split:1,doc-reasoning,cv-sans-mono-split,ranked,"cv corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-serif-accent-plain-left:1,doc-reasoning,cv-serif-accent-plain-left,ranked,"cv corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-sans-accent-plain-centered:1,doc-reasoning,cv-sans-accent-plain-centered,ranked,"cv corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-serif-mono-split:1,doc-reasoning,cv-serif-mono-split,ranked,"cv corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
doc-reasoning:cv-sans-accent-split:1,doc-reasoning,cv-sans-accent-split,ranked,"cv corpus archetype, fill applied per rule",https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,fill-rule:research/82§8,"n/a (fill-rule, not a ranking)",2026-09-23,fetched
