constraint_key,Set Key,Applies To,Check,Parameter,Threshold,Severity
deck-text-density,projection,artifact-class:canvas,validate-text-density,words_per_slide_body,40,warn
deck-chart-series-max,projection,artifact-class:canvas,validate-chart-series,max_series,7,warn
proj-contrast-margin,projection,artifact-class:canvas,validate-contrast-screen,wcag_ratio_min,7.0,warn
deck-aspect-ratio-default,projection,artifact-class:canvas,validate-aspect-ratio,ratio,16:9,warn
pptx-font-embedded,projection,format:pptx,validate-font-embedded,target=ppt/fonts;flag=p:embeddedFont,present,fail
report-measure-cpl,report-typography,artifact-class:flow,validate-measure,cpl_min=45;cpl_max=75;scope=body-paragraph;exempt=table-cell|caption|sidebar-column,45-75,warn
report-leading-ratio,report-typography,artifact-class:flow,validate-leading-ratio,ratio_min=1.20;ratio_max=1.45,1.20-1.45,warn
report-running-heads,report-typography,artifact-class:flow,validate-running-heads,distinct_odd_even_headers,present,warn
report-pagination-frontmatter,report-typography,artifact-class:flow,validate-pagination-format,frontmatter=roman;body=arabic-restart,present,warn
report-table-rules,report-typography,artifact-class:flow,validate-table-rules,vertical_borders=0;row_rules=header+total-only,present,warn
report-table-numeric-align,report-typography,artifact-class:flow,validate-table-alignment,numeric=right;text=left,present,warn
report-heading-keep-with-next,report-typography,artifact-class:flow,validate-keep-with-next,docx_property=keepNext;applies_to_block=heading;binds_to=body-paragraph,present,warn
report-widow-orphan-control,report-typography,artifact-class:flow,validate-widow-orphan,docx_property=widowControl;min_lines_together=2,2,warn
report-table-row-no-split,report-typography,artifact-class:flow,validate-table-row-integrity,docx_property=cantSplit;applies_to_block=table-row,present,warn
report-table-header-repeat,report-typography,artifact-class:flow,validate-table-header-repeat,docx_property=tblHeader;applies_to_block=table-header-row,present,warn
report-figure-caption-keep-together,report-typography,artifact-class:flow,validate-keep-with-next,docx_property=keepNext;applies_to_block=figure;binds_to=caption-block,present,warn
print-legibility-l-delta,print-legibility,artifact-class:flow,validate-contrast-print,l_star_delta,40,warn
photocopy-safe-color,photocopy-safe,doctype:*,validate-text-safe-color,roles=label|legal;metric=text_l_star,15,warn
legal-text-min-size,legal-text,doctype:*,validate-type-floor,medium=print;role=legal,8,warn
legal-text-no-sustained-uppercase,legal-text,doctype:*,validate-text-case,role=legal;max_uppercase_run_words,3,warn
slop-font-family-count-docx,slop-mechanical,format:docx,validate-font-family-count,distinct_families,3,fail
slop-font-family-count-pptx,slop-mechanical,format:pptx,validate-font-family-count,distinct_families,3,fail
slop-no-emoji-docx,slop-mechanical,format:docx,validate-no-emoji,emoji_count,0,fail
slop-no-emoji-pptx,slop-mechanical,format:pptx,validate-no-emoji,emoji_count,0,fail
slop-cell-border-ratio-docx,slop-mechanical,format:docx,validate-cell-border-ratio,border_ratio,0.5,warn
slop-cell-border-ratio-pptx,slop-mechanical,format:pptx,validate-cell-border-ratio,border_ratio,0.5,warn
slop-cell-border-ratio-invoice,slop-mechanical,doctype:invoice-*,validate-cell-border-ratio,border_ratio,0.5,fail
slop-cell-border-ratio-quote,slop-mechanical,doctype:quote-*,validate-cell-border-ratio,border_ratio,0.5,fail
slop-cell-border-ratio-form,slop-mechanical,doctype:form-*,validate-cell-border-ratio,border_ratio,0.5,fail
slop-bordered-block-ratio-docx,slop-mechanical,format:docx,validate-bordered-block-ratio,border_ratio,0.5,warn
slop-bordered-block-ratio-pptx,slop-mechanical,format:pptx,validate-bordered-block-ratio,border_ratio,0.5,warn
slop-accent-colour-palette-docx,slop-mechanical,format:docx,validate-accent-colour-palette,accent_hex,resolved-palette-only,warn
slop-accent-colour-palette-pptx,slop-mechanical,format:pptx,validate-accent-colour-palette,accent_hex,resolved-palette-only,warn
slop-words-per-slide,slop-mechanical,doctype:slide-deck-*,validate-words-per-slide,words_per_slide,36,warn
